,tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical
93,2021-01-01,DKI4 (Lubang Buaya),41,76,37,14,35,4,41,PM10
94,2021-01-02,DKI4 (Lubang Buaya),44,76,38,38,59,3,59,CO
95,2021-01-03,DKI4 (Lubang Buaya),50,76,37,16,52,5,52,CO
96,2021-01-04,DKI4 (Lubang Buaya),45,76,36,16,24,3,45,PM10
97,2021-01-05,DKI4 (Lubang Buaya),52,76,36,15,35,8,52,PM10
98,2021-01-06,DKI4 (Lubang Buaya),73,76,32,29,66,6,73,PM10
99,2021-01-07,DKI4 (Lubang Buaya),36,76,30,19,55,5,55,CO
100,2021-01-08,DKI4 (Lubang Buaya),36,76,31,23,51,6,51,CO
101,2021-01-09,DKI4 (Lubang Buaya),60,76,30,34,42,6,60,PM10
102,2021-01-10,DKI4 (Lubang Buaya),14,76,28,9,38,3,38,CO
103,2021-01-11,DKI4 (Lubang Buaya),51,76,29,17,57,4,57,CO
104,2021-01-12,DKI4 (Lubang Buaya),23,76,28,11,44,4,44,CO
105,2021-01-13,DKI4 (Lubang Buaya),36,76,27,8,32,3,36,PM10
106,2021-01-14,DKI4 (Lubang Buaya),35,76,28,13,38,5,38,CO
107,2021-01-15,DKI4 (Lubang Buaya),51,76,26,20,56,5,56,CO
108,2021-01-16,DKI4 (Lubang Buaya),47,76,27,18,38,7,47,PM10
109,2021-01-17,DKI4 (Lubang Buaya),52,76,28,12,41,8,52,PM10
110,2021-01-18,DKI4 (Lubang Buaya),34,76,28,10,37,4,37,CO
111,2021-01-19,DKI4 (Lubang Buaya),25,76,26,12,31,7,31,CO
112,2021-01-20,DKI4 (Lubang Buaya),54,76,25,16,33,8,54,PM10
113,2021-01-21,DKI4 (Lubang Buaya),63,76,25,21,38,7,63,PM10
114,2021-01-22,DKI4 (Lubang Buaya),52,76,26,32,54,8,54,CO
115,2021-01-23,DKI4 (Lubang Buaya),89,76,27,47,61,11,89,PM10
116,2021-01-24,DKI4 (Lubang Buaya),48,76,48,11,48,48,0, 
117,2021-01-25,DKI4 (Lubang Buaya),48,76,48,11,48,48,0, 
118,2021-01-26,DKI4 (Lubang Buaya),57,76,26,34,39,7,57,PM10
119,2021-01-27,DKI4 (Lubang Buaya),18,76,25,7,19,4,25,PM25
120,2021-01-28,DKI4 (Lubang Buaya),23,76,25,11,20,5,25,PM25
121,2021-01-29,DKI4 (Lubang Buaya),27,76,26,9,36,4,36,CO
122,2021-01-30,DKI4 (Lubang Buaya),21,76,26,16,32,6,32,CO
123,2021-01-31,DKI4 (Lubang Buaya),48,76,48,17,48,48,17,SO2
84,2021-02-01,DKI4 (Lubang Buaya),48,48,48,11,48,48,0, 
85,2021-02-02,DKI4 (Lubang Buaya),37,59,40,14,22,12,59,PM25
86,2021-02-03,DKI4 (Lubang Buaya),24,52,40,9,21,8,52,PM25
87,2021-02-04,DKI4 (Lubang Buaya),19,53,40,12,19,10,53,PM25
88,2021-02-05,DKI4 (Lubang Buaya),19,41,40,12,20,9,41,PM25
89,2021-02-06,DKI4 (Lubang Buaya),18,48,40,7,28,6,48,PM25
90,2021-02-07,DKI4 (Lubang Buaya),25,55,40,10,22,11,55,PM25
91,2021-02-08,DKI4 (Lubang Buaya),17,44,39,10,21,9,44,PM25
92,2021-02-09,DKI4 (Lubang Buaya),31,57,40,13,19,9,57,PM25
93,2021-02-10,DKI4 (Lubang Buaya),30,58,40,13,20,8,58,PM25
94,2021-02-11,DKI4 (Lubang Buaya),21,50,40,7,16,5,50,PM25
95,2021-02-12,DKI4 (Lubang Buaya),33,65,40,12,19,5,65,PM25
96,2021-02-13,DKI4 (Lubang Buaya),43,62,40,11,25,9,62,PM25
97,2021-02-14,DKI4 (Lubang Buaya),34,57,39,11,26,9,57,PM25
98,2021-02-15,DKI4 (Lubang Buaya),42,66,40,11,25,12,66,PM25
99,2021-02-16,DKI4 (Lubang Buaya),43,63,40,11,23,13,63,PM25
100,2021-02-17,DKI4 (Lubang Buaya),38,66,40,22,21,15,66,PM25
101,2021-02-18,DKI4 (Lubang Buaya),37,60,41,10,22,11,60,PM25
102,2021-02-19,DKI4 (Lubang Buaya),25,51,39,16,20,13,51,PM25
103,2021-02-20,DKI4 (Lubang Buaya),33,63,39,12,24,12,63,PM25
104,2021-02-21,DKI4 (Lubang Buaya),21,50,39,10,23,10,50,PM25
105,2021-02-22,DKI4 (Lubang Buaya),59,95,40,21,25,12,95,PM25
106,2021-02-23,DKI4 (Lubang Buaya),51,83,40,16,24,11,83,PM25
107,2021-02-24,DKI4 (Lubang Buaya),42,61,39,9,13,6,61,PM25
108,2021-02-25,DKI4 (Lubang Buaya),16,45,39,9,19,4,45,PM25
109,2021-02-26,DKI4 (Lubang Buaya),48,75,39,11,23,13,75,PM25
110,2021-02-27,DKI4 (Lubang Buaya),59,94,40,13,30,12,94,PM25
111,2021-02-28,DKI4 (Lubang Buaya),68,113,39,18,24,14,113,PM25
93,2021-03-01,DKI4 (Lubang Buaya),56,96,40,13,19,9,96,PM25
94,2021-03-02,DKI4 (Lubang Buaya),46,81,39,17,29,14,81,PM25
95,2021-03-03,DKI4 (Lubang Buaya),52,48,41,19,31,14,52,PM10
96,2021-03-04,DKI4 (Lubang Buaya),62,103,40,19,33,11,103,PM25
97,2021-03-05,DKI4 (Lubang Buaya),51,79,40,14,32,13,79,PM25
98,2021-03-06,DKI4 (Lubang Buaya),61,95,40,22,32,13,95,PM25
99,2021-03-07,DKI4 (Lubang Buaya),60,102,41,23,34,14,102,PM25
100,2021-03-08,DKI4 (Lubang Buaya),58,81,40,16,19,6,81,PM25
101,2021-03-09,DKI4 (Lubang Buaya),24,55,41,10,18,8,55,PM25
102,2021-03-10,DKI4 (Lubang Buaya),56,89,40,21,21,12,89,PM25
103,2021-03-11,DKI4 (Lubang Buaya),28,53,39,9,25,9,53,PM25
104,2021-03-12,DKI4 (Lubang Buaya),53,83,41,19,22,13,83,PM25
105,2021-03-13,DKI4 (Lubang Buaya),37,69,41,10,20,9,69,PM25
106,2021-03-14,DKI4 (Lubang Buaya),40,68,41,16,14,9,68,PM25
107,2021-03-15,DKI4 (Lubang Buaya),37,77,42,14,24,12,77,PM25
108,2021-03-16,DKI4 (Lubang Buaya),57,101,46,13,37,18,101,PM25
109,2021-03-17,DKI4 (Lubang Buaya),68,123,43,20,37,14,123,PM25
110,2021-03-18,DKI4 (Lubang Buaya),68,125,45,16,37,22,125,PM25
111,2021-03-19,DKI4 (Lubang Buaya),57,91,42,12,42,15,91,PM25
112,2021-03-20,DKI4 (Lubang Buaya),55,98,44,12,38,18,98,PM25
113,2021-03-21,DKI4 (Lubang Buaya),57,85,41,16,22,17,85,PM25
114,2021-03-22,DKI4 (Lubang Buaya),52,78,41,15,20,11,78,PM25
115,2021-03-23,DKI4 (Lubang Buaya),38,62,41,8,12,7,62,PM25
116,2021-03-24,DKI4 (Lubang Buaya),30,55,40,7,13,9,55,PM25
117,2021-03-25,DKI4 (Lubang Buaya),36,68,41,8,19,12,68,PM25
118,2021-03-26,DKI4 (Lubang Buaya),52,83,42,17,31,16,83,PM25
119,2021-03-27,DKI4 (Lubang Buaya),58,91,43,13,35,20,91,PM25
120,2021-03-28,DKI4 (Lubang Buaya),50,75,41,14,37,16,75,PM25
121,2021-03-29,DKI4 (Lubang Buaya),54,84,41,18,35,19,84,PM25
122,2021-03-30,DKI4 (Lubang Buaya),41,76,42,14,21,25,76,PM25
123,2021-03-31,DKI4 (Lubang Buaya),48,69,43,12,25,18,69,PM25
90,2021-04-01,DKI4 (Lubang Buaya),22,49,41,7,18,12,49,PM25
91,2021-04-02,DKI4 (Lubang Buaya),37,62,44,11,18,12,62,PM25
92,2021-04-03,DKI4 (Lubang Buaya),39,67,42,9,22,14,67,PM25
93,2021-04-04,DKI4 (Lubang Buaya),64,103,43,26,23,20,103,PM25
94,2021-04-05,DKI4 (Lubang Buaya),52,80,43,14,23,16,80,PM25
95,2021-04-06,DKI4 (Lubang Buaya),30,50,43,6,15,10,50,PM25
96,2021-04-07,DKI4 (Lubang Buaya),22,38,42,5,16,8,42,SO2
97,2021-04-08,DKI4 (Lubang Buaya),24,55,48,8,14,10,55,PM25
98,2021-04-09,DKI4 (Lubang Buaya),42,63,43,8,21,13,63,PM25
99,2021-04-10,DKI4 (Lubang Buaya),61,90,43,15,27,21,90,PM25
100,2021-04-11,DKI4 (Lubang Buaya),66,108,47,18,35,24,108,PM25
101,2021-04-12,DKI4 (Lubang Buaya),57,92,43,18,27,17,92,PM25
102,2021-04-13,DKI4 (Lubang Buaya),52,78,44,13,31,20,78,PM25
103,2021-04-14,DKI4 (Lubang Buaya),52,79,42,13,31,14,79,PM25
104,2021-04-15,DKI4 (Lubang Buaya),55,87,42,27,25,27,87,PM25
105,2021-04-16,DKI4 (Lubang Buaya),61,90,42,17,21,20,90,PM25
106,2021-04-17,DKI4 (Lubang Buaya),63,109,43,20,27,19,109,PM25
